t,h,P,T,ρ,a,Vx,Ax,Ay,Az,At
32.45,28.300,100.623,14.816,1.222,340.18,8.119,7.427,-2.476,3.990,8.787
32.50,27.700,100.634,14.820,1.222,340.19,8.119,3.739,-3.064,4.212,6.411
32.55,26.800,100.645,14.826,1.222,340.19,8.119,7.714,0.775,3.444,8.483
32.60,26.200,100.656,14.830,1.222,340.19,8.119,8.274,1.995,4.937,9.839
32.65,25.600,100.667,14.834,1.222,340.19,8.119,6.874,3.638,5.453,9.499
32.70,25.000,100.678,14.838,1.222,340.20,8.119,7.463,5.970,5.360,10.957
32.75,23.800,100.689,14.845,1.222,340.20,8.119,7.176,9.422,3.925,12.477
32.80,22.300,100.700,14.855,1.222,340.21,8.118,5.532,11.366,0.847,12.669
32.85,20.100,100.712,14.869,1.223,340.22,8.118,6.666,10.878,-1.894,12.898
32.90,18.300,100.724,14.881,1.223,340.22,8.118,13.627,11.904,-5.633,18.951
32.95,16.500,100.733,14.893,1.223,340.23,8.118,9.285,10.735,-9.414,17.032
33.00,14.600,100.736,14.905,1.223,340.24,8.118,2.698,7.829,-7.850,11.410
33.05,13.100,100.801,14.915,1.223,340.24,8.118,9.364,6.164,-10.433,15.315
33.10,11.900,100.803,14.923,1.224,340.25,8.118,13.533,5.877,-10.699,18.225
33.15,10.700,100.804,14.930,1.224,340.25,8.118,10.620,2.741,-10.261,15.020
33.20,9.400,100.806,14.939,1.224,340.26,8.117,3.330,-3.129,-6.645,8.064
33.25,7.900,100.807,14.949,1.224,340.26,8.117,2.476,-3.179,-5.941,7.179
33.30,6.400,100.809,14.958,1.224,340.27,8.117,12.141,1.844,-8.001,14.657
33.35,5.500,100.811,14.964,1.224,340.27,8.117,11.251,-0.344,-6.472,12.985
33.40,4.900,100.812,14.968,1.224,340.27,8.117,7.979,-2.641,-6.343,10.530
33.45,4.600,100.814,14.970,1.224,340.27,8.117,9.723,-1.615,-6.394,11.748
33.50,4.500,100.815,14.971,1.224,340.28,8.117,9.013,-0.287,-7.219,11.551
33.55,4.400,100.817,14.971,1.224,340.28,8.117,24.404,63.131,-72.625,99.275
33.60,4.300,100.819,14.972,1.224,340.28,8.116,92.444,39.158,0.431,100.396
33.65,4.300,100.820,14.972,1.224,340.28,8.116,6.853,-10.304,27.698,30.337
33.70,4.000,100.822,14.974,1.225,340.28,8.116,40.011,19.518,9.816,45.588
33.75,3.400,100.823,14.978,1.225,340.28,8.116,5.001,15.327,-33.130,36.845
33.80,2.700,100.825,14.982,1.225,340.28,8.116,0.653,23.787,6.336,24.625
33.85,2.400,100.827,14.984,1.225,340.28,8.116,1.801,0.179,2.799,3.333
33.90,2.400,100.828,14.984,1.225,340.28,8.116,2.303,-16.590,16.389,23.434
33.95,2.400,100.830,14.984,1.225,340.28,8.116,7.757,11.216,1.292,13.698
34.00,2.400,100.831,14.984,1.225,340.28,8.114,3.473,7.886,-0.804,8.654
34.05,2.400,100.833,14.984,1.225,340.28,8.114,3.660,5.769,0.258,6.837
34.10,2.400,100.834,14.984,1.225,340.28,8.114,10.950,2.763,2.547,11.577
34.15,2.400,100.836,14.984,1.225,340.28,8.114,0.524,2.153,2.095,3.049
34.20,2.400,100.838,14.984,1.225,340.28,8.114,8.403,-10.218,20.687,24.556
34.25,2.400,100.839,14.984,1.225,340.28,8.114,18.685,2.684,12.715,22.760
34.30,2.400,100.841,14.984,1.225,340.28,8.114,2.741,0.136,5.461,6.112
34.35,2.400,100.842,14.984,1.225,340.28,8.114,8.252,0.423,7.735,11.319
34.40,2.400,100.844,14.984,1.225,340.28,8.114,4.937,-2.038,6.623,8.508
34.45,2.400,100.846,14.984,1.225,340.28,8.113,8.869,-41.762,0.524,42.697
34.50,2.400,100.847,14.984,1.225,340.28,8.113,0.409,0.022,28.609,28.612
34.55,2.400,100.849,14.984,1.225,340.28,8.113,0.631,0.431,-0.007,0.764
34.60,2.400,100.850,14.984,1.225,340.28,8.113,1.148,-1.349,-0.890,1.982
34.65,2.400,100.852,14.984,1.225,340.28,8.113,0.466,12.177,8.883,15.080
34.70,2.400,100.853,14.984,1.225,340.28,8.113,12.959,-3.279,-21.434,25.261
34.75,2.400,100.855,14.984,1.225,340.28,8.113,8.553,-0.466,0.517,8.582
34.80,2.400,100.857,14.984,1.225,340.28,8.113,12.055,0.409,4.427,12.849
34.85,2.400,100.858,14.984,1.225,340.28,8.111,10.448,0.603,1.206,10.534
34.90,2.400,100.860,14.984,1.225,340.28,8.111,8.962,1.155,7.276,11.602
34.95,2.400,100.861,14.984,1.225,340.28,8.111,4.786,1.536,9.651,10.882
35.00,2.400,100.863,14.984,1.225,340.28,8.111,6.394,1.327,7.463,9.916
35.05,2.400,100.865,14.984,1.225,340.28,8.111,7.147,1.213,6.185,9.529
35.10,2.400,100.866,14.984,1.225,340.28,8.111,7.527,0.660,7.125,10.386
35.15,2.100,100.869,14.986,1.225,340.28,8.111,7.011,1.234,6.838,9.871
